"","total_nitrogen","zinc","molybdenum","iron","copper","sodium","phosphorus","potassium","calcium","magnesium","sulphur","manganese","boron","crop_name"
"CF177PA0663",2.01123070716858,10.8,0.1,47.3,5.55,13.9,0.12,0.67,0.48,0.09,0.17,1360,27.8,"Macadamia"
"CK025PA0534",1.16662800312042,9.81,0.33,141,4.68,18.5,0.047,0.47,0.78,0.068,0.14,3170,29.2,"Macadamia"
"CK025PA0535",1.17845189571381,10.8,0.1,157,4.35,11.3,0.057,0.6,0.65,0.069,0.15,2100,30.2,"Macadamia"
"CK002PA3004",1.06237781047821,118,0.74,293,176,40.6,0.055,0.79,2.59,0.61,0.2,1110,96.7,"Avocado"
"CK025PA0551",1.34709882736206,7.37,0.18,76.9,4.85,0.05,0.063,0.47,0.7,0.082,0.15,3900,22,"Macadamia"
"CK025PA0539",1.16894090175629,7.41,0.27,66,3.12,1.3,0.057,0.58,0.63,0.071,0.13,1830,20.9,"Macadamia"
"CK025PA0548",1.16499197483063,8.45,0.32,88.3,4.59,11.1,0.067,0.61,0.53,0.073,0.16,1670,16.8,"Macadamia"
"CK025PA0549",1.21037399768829,8.6,0.1,115,5.21,11.9,0.056,0.55,0.94,0.08,0.14,3950,38.5,"Macadamia"
"CK025PA0550",1.28110218048096,7.19,0.16,93.9,4.5,7.11,0.065,0.52,0.54,0.061,0.13,2520,16.5,"Macadamia"
"CK025PA0556",1.14488482475281,7.79,0.1,83.8,3.95,3.81,0.05,0.55,0.65,0.07,0.17,2490,26.3,"Macadamia"
"CK025PA0557",1.21778893470764,8.29,0.1,126,3.73,5.04,0.042,0.52,0.92,0.081,0.17,5220,42.9,"Macadamia"
"CK025PA0558",1.34175455570221,8.4,0.1,96.5,4.75,0.05,0.06,0.52,0.59,0.071,0.17,3000,22,"Macadamia"
"CK025PA0559",1.35820400714874,8.79,0.1,92.3,4.37,21.6,0.056,0.53,0.68,0.069,0.15,2420,21.7,"Macadamia"
"CK002PA3002",0.86713981628418,45.8,1.45,161,163,4.08,0.045,0.66,1.73,0.55,0.14,518,25.1,"Avocado"
"CK002PA3003",1.00049912929535,32.2,1.21,198,121,16.9,0.047,0.63,2,0.6,0.17,458,18.6,"Avocado"
"CK025PA0536",1.17380475997925,8.93,0.1,127,5.96,24.2,0.045,0.45,1.07,0.057,0.13,4310,34.5,"Macadamia"
"CK002PA2904",2.67487645149231,24.6,0.1,136,91.6,13.7,0.13,1.47,0.95,0.44,0.21,264,44.5,"Avocado"
"CF177PA0500",2.21882724761963,15.1,0.63,45.9,4.27,2.12,0.26,1.07,0.23,0.11,0.21,171,16.2,"Macadamia"
"CK002PA2905",2.29921674728394,21.2,0.13,146,98.6,17.2,0.14,1.33,1.01,0.54,0.2,670,39.3,"Avocado"
"CV002PA0697",2.85681818181818,37.4,0.31,110,12.1,52,0.22,1.12,1.21,0.46,0.32,487,44.8,"Avocado"
"CK002PA2907",2.97279024124146,19.2,0.1,105,157,17.1,0.12,1.17,0.86,0.48,0.18,407,29.3,"Avocado"
"CK002PA2908",2.20167851448059,18,0.1,101,86.1,10.3,0.12,1.17,0.82,0.41,0.17,373,44.3,"Avocado"
"CK002PA2709",1.95692133903503,26,0.77,161,231,26.1,0.14,1.2,1.31,0.57,0.22,524,51.2,"Avocado"
"CK002PA2710",1.92437314987183,26.8,0.41,165,206,16,0.15,1.55,0.91,0.51,0.21,442,66.6,"Avocado"
"CK002PA2711",1.76101791858673,26.5,0.4,157,169,21.3,0.14,1.35,1.01,0.52,0.21,329,43.3,"Avocado"
"CK002PA2712",1.85862290859222,27.1,1.51,189,399,17.8,0.13,1.48,0.96,0.54,0.2,536,53.7,"Avocado"
