"","total_nitrogen","zinc","molybdenum","iron","copper","sodium","phosphorus","potassium","calcium","magnesium","sulphur","manganese","boron","crop_name"
"CF177PA1335",1.59659469127655,4.5,0.1,28.9,2.46,8.41,0.17,0.71,0.34,0.1,0.13,56.3,13.8,"Macadamia"
"CF177PA1336",1.53056204319,4.27,0.25,25.9,3.19,10.7,0.19,0.79,0.35,0.097,0.13,34,16.6,"Macadamia"
"CF177PA1337",1.52455151081085,4.06,0.1,23.9,2.73,13.4,0.17,0.72,0.28,0.087,0.12,33.1,13.2,"Macadamia"
"CF177PA1338",1.62692439556122,6.35,0.19,40.4,2.25,11.5,0.17,0.76,0.3,0.1,0.11,26.9,16.2,"Macadamia"
"CF177PA1356",1.78973281383514,9.99,0.82,53.6,4.34,26.8,0.2,0.95,0.87,0.17,0.31,54.6,50.3,"Macadamia"
"CF177PA1328",2.19081926345825,6.98,0.48,20.8,5.63,12.9,0.18,0.93,0.28,0.099,0.17,12.2,12.7,"Macadamia"
"CF177PA1329",1.94892561435699,8,0.16,180,2.22,306,0.12,1.26,0.65,0.24,0.33,11.5,41.1,"Macadamia"
"CF177PA1325",1.73700892925262,4.98,0.44,26.2,2.9,24.1,0.17,0.85,0.23,0.097,0.12,29.5,14,"Macadamia"
"CF177PA1326",2.27706170082092,5.07,0.27,74,2.94,28.8,0.15,1.19,0.61,0.14,0.26,52.8,50.1,"Macadamia"
"CF177PA1327",1.96094477176666,5.95,0.34,22.6,3.92,7.66,0.17,1.07,0.2,0.098,0.15,38.1,13,"Macadamia"
"CF177PA1470",2.78700566291809,188,0.85,111,8.49,14.4,0.15,0.92,1.6,0.24,0.24,931,99.1,"Pecan Nut"
"CV002PA0730",1.20661687850952,31,0.78,99.6,6.05,54.4,0.21,1.33,0.5,0.22,0.17,20.1,24.1,"Avocado"
"AGD517-90PA0001",1.5887109041214,19.9,0.72,122,8.13,29.7,0.1,1.2,1.9,0.44,0.2,284,11.2,"Avocado"
"CF177PA0795",1.57614088058472,9.79,0.1,142,3.43,128,0.12,0.85,0.93,0.13,0.29,2390,44,"Macadamia"
"CF177PA0843",1.19801390171051,7.83,0.1,83.1,3.96,40.2,0.13,0.86,0.35,0.091,0.15,609,65.7,"Macadamia"
"CF177PA0844",1.2248649597168,10.5,0.1,108,5.6,46,0.2,1.02,0.37,0.1,0.19,416,38.3,"Macadamia"
"CV002PA0737",1.18234384059906,31.4,0.2,122,1080,40.5,0.097,0.99,1.45,0.56,0.36,285,46.4,"Avocado"
"CF177PA0847",1.20165657997131,12,0.1,67.3,4.19,42,0.2,1.12,0.42,0.11,0.15,178,36.8,"Macadamia"
"CF177PA0846",1.38291609287262,11.3,0.1,61.1,4.81,45.6,0.21,1.06,0.34,0.12,0.18,291,38.7,"Macadamia"
"CF177PA0845",1.19750201702118,11.5,0.1,65.8,5.27,42.3,0.2,1.01,0.34,0.13,0.16,180,27.5,"Macadamia"
"CF177PA0849",1.56530261039734,9.47,0.1,62.3,2.58,34.2,0.15,0.89,0.29,0.095,0.15,80.6,11,"Macadamia"
"CF177PA0848",1.79108893871307,12.4,0.1,53.3,4.58,39.3,0.25,1.24,0.3,0.12,0.16,237,15.9,"Macadamia"
"CA554PA0001",1.30561423301697,5.53,0.1,118,4.78,76.4,0.068,0.64,0.82,0.051,0.11,1780,13.3,"Macadamia"
"CK002PA3057",1.64532518386841,12.3,0.46,102,3.62,21.7,0.058,0.45,0.97,0.056,0.16,2920,46.3,"Macadamia"
"CK002PA3058",1.67682254314423,12.7,0.33,142,3.74,26.3,0.06,0.59,1.07,0.083,0.21,2670,54,"Macadamia"
"CK002PA3059",1.77273869514465,11.6,0.68,55.5,5.39,24.5,0.11,0.79,0.58,0.085,0.22,2110,18.7,"Macadamia"
"CF177PA1200",1.65498399734497,91,0.71,138,4.12,17.1,0.12,1.01,1.18,0.3,0.19,1090,33.7,"Pecan Nut"
"CF177PA1010",3.23794054985046,70.1,0.23,97.2,8.75,36.6,0.16,1,1.02,0.34,0.22,433,37,"Pecan Nut"
"CF177PA1011",2.90479445457459,51.9,0.25,92.5,8.72,14,0.15,1.29,1.16,0.34,0.22,471,59.8,"Pecan Nut"
"CF177PA1013",3.44819498062134,295,2.75,76.7,10.9,7.7,0.28,1.63,1.36,0.36,0.34,501,31.9,"Pecan Nut"
"CF177PA1012",2.95388460159302,296,1.75,83.4,8.05,7.72,0.2,1.4,1.38,0.25,0.25,781,69.5,"Pecan Nut"
"CM034PA0122",0.95812052488327,14.8,0.1,30.2,9.06,20.9,0.16,1.85,0.071,0.13,0.096,15.4,15.3,"Avocado"
"CM034PA0123",1.27421891689301,12.9,0.1,31.4,9.2,24.8,0.15,1.6,0.08,0.13,0.1,10.8,15.8,"Avocado"
"CA028PA0463",3.78434443473816,29.4,0.1,128,109,21,0.19,1.33,1.69,0.6,0.27,451,28.2,"Avocado"
"CA028PA0464",3.32894659042358,28.8,0.1,129,28,14.9,0.19,1.5,1.67,0.59,0.27,740,20.4,"Avocado"
"CF177PA1134",1.28229105472565,17.5,0.1,52.2,5.81,10.4,0.17,1.25,0.46,0.2,0.17,166,26.1,"Avocado"
"CF177PA1135",2.42838883399963,32.2,0.21,94.6,16.1,63.4,0.3,1.86,0.57,0.23,0.24,255,73,"Avocado"
"CF177PA1136",1.96034109592438,22.8,0.39,65,11.6,15.8,0.19,1.75,0.62,0.19,0.21,70.5,30.3,"Avocado"
"CK002PA3060",1.59468686580658,9.76,0.34,51,4.33,20.8,0.092,0.64,0.51,0.075,0.16,1710,22.9,"Macadamia"
"CF177PA1137",2.00417137145996,21.4,0.18,67.4,13.2,22.9,0.22,1.34,0.31,0.21,0.2,192,26.1,"Avocado"
"CF177PA1128",2.07161617279053,53.4,2.28,66.2,6.6,117,0.24,1.28,1.7,0.25,0.18,755,86.1,"Pecan Nut"
"CF177PA1129",2.51794695854187,148,0.41,85,15,39,0.32,1.58,0.9,0.29,0.16,642,52.5,"Pecan Nut"
"CF177PA1138",1.91350162029266,27.4,0.17,76.4,18.8,19.6,0.19,1.31,0.55,0.23,0.19,241,27.8,"Avocado"
"CF177PA1127",2.14763832092285,38,2.25,148,5.1,23.7,0.26,1.44,1.36,0.34,0.18,1580,43.5,"Pecan Nut"
"CM034PA0124",1.07990717887878,18.8,0.1,26.4,13.5,13.6,0.17,2.03,0.05,0.1,0.11,14.7,22.7,"Avocado"
"CK002PA3065",1.48975026607513,9.06,0.47,81.9,4.19,34.6,0.089,0.65,0.44,0.079,0.13,1730,16.7,"Macadamia"
"CK002PA3061",1.61902296543121,8.72,0.36,34.5,5.46,22.3,0.087,0.62,0.31,0.072,0.14,878,12.9,"Macadamia"
"CK002PA3062",1.62654149532318,10.9,0.1,86.1,4.24,27.1,0.075,0.66,0.62,0.072,0.18,2040,25.7,"Macadamia"
"CK002PA3063",1.63442778587341,14,0.26,117,3.59,17.6,0.069,0.63,0.84,0.081,0.21,2530,40,"Macadamia"
"CK002PA3064",1.51902043819427,8.45,0.32,80.8,3.25,39.9,0.06,0.63,0.51,0.066,0.15,1980,25.4,"Macadamia"
"CF177PA1130",2.53633666038513,20.6,1.75,93.1,5.43,46.4,0.17,1.38,1.12,0.31,0.22,645,47.5,"Pecan Nut"
"CF177PA1131",2.63253331184387,31.9,0.9,66.3,4.66,45.2,0.3,1.54,1.15,0.34,0.19,1700,50.2,"Pecan Nut"
"CF177PA1132",2.70963358879089,30.6,0.66,64.8,8.09,60.8,0.3,1.14,0.87,0.28,0.21,737,48.4,"Pecan Nut"
"CF177PA1133",2.94663071632385,58.6,0.92,97,10.4,44,0.41,1.47,0.96,0.27,0.18,1050,39.8,"Pecan Nut"
"CF177PA1126",2.58182215690613,72.3,2.91,168,8.13,36.7,0.33,1.58,1.15,0.25,0.19,676,40.6,"Pecan Nut"
"CF177PA1139",1.86466360092163,27.3,0.3,107,16,16,0.21,1.47,0.35,0.24,0.21,262,30.9,"Avocado"
"CF177PA1140",1.63219082355499,29,0.73,170,56.6,54,0.2,1.32,0.36,0.23,0.16,163,22.8,"Avocado"
"CF177PA1141",2.01230502128601,22.6,0.21,73.2,12,23.6,0.21,1.33,0.77,0.23,0.19,40.1,32.3,"Avocado"
"CK002PA3066",1.51589822769165,8.84,0.1,87.6,2.14,34,0.045,0.47,0.89,0.055,0.16,3390,38.6,"Macadamia"
"CK002PA3068",1.57135713100433,8.55,0.11,54.5,3.4,10.4,0.069,0.53,0.34,0.058,0.12,1250,17,"Macadamia"
"CK002PA3067",1.56748592853546,8.76,0.23,122,3.12,27.4,0.053,0.54,0.62,0.055,0.14,3200,32.8,"Macadamia"
"CF177PA1215",3.45731568336487,359,0.73,98.6,10.4,14.4,0.23,1.13,1.12,0.41,0.19,1460,51.7,"Pecan Nut"
"CF177PA1216",3.78045797348022,275,0.32,73.4,10.4,16.5,0.22,1.47,0.87,0.27,0.23,865,62.1,"Pecan Nut"
"CF177PA1225",3.7042875289917,141,0.1,67.9,9.69,18.4,0.26,1.46,0.92,0.31,0.24,628,29.7,"Pecan Nut"
"CF177PA1226",3.2379367351532,343,2.79,63.4,1.67,15.9,0.27,1.57,1.37,0.41,0.24,541,43.4,"Pecan Nut"
"CF177PA1219",3.44371223449707,225,0.1,71.9,11.2,23.9,0.22,1.5,0.98,0.37,0.21,1320,46.1,"Pecan Nut"
"CF177PA1206",3.6091525554657,36.8,0.1,72.5,3.24,26.9,0.26,1.49,0.94,0.31,0.23,993,26.9,"Pecan Nut"
"CF177PA1207",3.14429450035095,47.2,0.1,85.7,5.51,23.8,0.21,1.38,0.84,0.27,0.23,693,21,"Pecan Nut"
"CF177PA1209",3.33104395866394,31.8,0.42,57.3,3.63,19.5,0.31,1.49,0.81,0.25,0.24,257,23.6,"Pecan Nut"
"CF177PA1210",3.42313408851624,80,4.76,207,6.23,17.6,0.29,1.36,1.23,0.28,0.22,219,42,"Pecan Nut"
"CF177PA1211",4.0985541343689,203,0.43,64.1,8.68,23.6,0.31,1.31,0.96,0.35,0.24,480,32.1,"Pecan Nut"
"CF177PA1227",3.48493146896362,156,1.34,54.1,11.6,16.6,0.27,1.39,1.01,0.24,0.25,631,52.7,"Pecan Nut"
"CF177PA1212",3.64242553710938,196,1.02,106,7.73,20.2,0.27,1.37,1.04,0.3,0.2,598,34,"Pecan Nut"
"CF177PA1228",3.27825856208801,222,1.44,64.7,10.4,34.8,0.25,1.5,0.95,0.5,0.21,768,37.4,"Pecan Nut"
"CF177PA1229",2.99708318710327,236,5,261,13.2,14.4,0.27,1.63,0.87,0.26,0.18,380,37.2,"Pecan Nut"
"CF177PA1214",3.62342047691345,220,0.1,165,13.3,26.3,0.17,0.92,1.45,0.32,0.24,949,63.6,"Pecan Nut"
"CF177PA1208",3.31717395782471,14.3,0.25,63.5,2.32,17.1,0.18,0.93,0.83,0.33,0.17,783,4.61,"Pecan Nut"
"CF177PA1220",3.77858829498291,218,0.71,67.4,3.46,15,0.22,1.46,0.74,0.26,0.22,740,41.2,"Pecan Nut"
"CF177PA1213",3.28208327293396,467,1.12,101,9.08,18.8,0.25,1.18,0.94,0.32,0.22,1220,30.1,"Pecan Nut"
"CK002PA3047",1.47132170200348,10.9,0.25,99.1,2.79,32.3,0.054,0.48,0.77,0.071,0.18,3590,48.5,"Macadamia"
"CK002PA3045",1.72879803180695,11.7,0.1,130,2.92,0.21,0.052,0.64,0.9,0.069,0.2,3400,54.9,"Macadamia"
"CK002PA3046",1.49244999885559,13,0.1,122,3.6,7.1,0.049,0.41,0.79,0.071,0.16,3840,54.2,"Macadamia"
"CF177PA1201",2.23245072364807,40.8,0.5,86.1,8.02,15.5,0.16,1.25,1.23,0.27,0.24,567,40.3,"Pecan Nut"
"CF177PA1202",1.90056312084198,149,0.4,95.8,3.38,19.8,0.13,1.26,1.4,0.3,0.21,1100,42.4,"Pecan Nut"
"CF177PA1203",2.45515275001526,147,9.17,444,20.9,10.8,0.16,1.23,1.61,0.37,0.24,1540,70.1,"Pecan Nut"
"CF177PA1204",1.97277247905731,100,0.69,86.9,5.9,18.1,0.14,1.05,1.43,0.24,0.21,1430,41.1,"Pecan Nut"
"CF177PA1205",3.02252006530762,81.1,0.57,134,9.78,12.5,0.19,0.98,1.57,0.3,0.24,1370,58.5,"Pecan Nut"
"CK002PA3044",1.46630132198334,12.1,0.1,103,3.31,23.8,0.048,0.55,0.89,0.072,0.25,4760,53.6,"Macadamia"
"CK002PA3049",1.58078503608704,9.51,0.1,85,2.98,26.8,0.056,0.49,0.81,0.08,0.16,2980,39.5,"Macadamia"
"CK002PA3050",1.49361872673035,13.2,0.1,202,3.8,29.9,0.056,0.59,0.91,0.078,0.24,3190,32.3,"Macadamia"
"CF177PA1107",1.39193367958069,12.5,0.1,39.7,6.3,6.05,0.16,0.83,0.26,0.093,0.16,497,14.7,"Macadamia"
"CF177PA1111",1.1936662197113,6.52,0.1,45.1,2.97,12.6,0.11,0.66,0.44,0.12,0.16,932,25.2,"Macadamia"
"CF177PA1108",1.00294363498688,6.85,0.1,42.6,3.16,7.89,0.17,0.89,0.43,0.1,0.15,1210,91.8,"Macadamia"
"CF177PA1112",1.46503782272339,9.67,0.1,35.7,2.94,12.6,0.14,0.77,0.38,0.094,0.14,275,38.5,"Macadamia"
"CF177PA1109",1.44552040100098,8.51,0.1,37.5,4.43,10.6,0.14,0.82,0.28,0.11,0.19,478,16.3,"Macadamia"
"CF177PA1110",1.45764863491058,14.3,0.1,39.3,5.98,14.3,0.18,0.83,0.14,0.095,0.16,134,14.8,"Macadamia"
"CF177PA1113",1.37910759449005,12.8,0.23,33.7,7.31,9.76,0.2,0.75,0.22,0.12,0.15,303,14.8,"Macadamia"
"CF177PA1114",1.12749409675598,7.33,0.1,46.3,2.64,12.1,0.12,0.74,0.32,0.11,0.13,274,16.4,"Macadamia"
"CF177PA1115",0.996568024158478,7.43,0.15,39.7,2.39,20.4,0.089,0.66,0.4,0.081,0.15,271,23.2,"Macadamia"
"CF177PA1116",1.18186497688293,8.77,0.1,41.4,3.41,19.4,0.11,0.61,0.38,0.084,0.16,349,33.4,"Macadamia"
"CF177PA1117",1.10674166679382,9.58,0.1,31.7,3.69,13.9,0.18,0.75,0.22,0.087,0.13,376,19.4,"Macadamia"
"CF177PA1118",1.41981768608093,9.99,0.1,28.8,3.66,14.6,0.15,0.79,0.19,0.089,0.15,261,12.8,"Macadamia"
"CF177PA1119",1.36851596832275,8.42,0.1,30,5.42,9.68,0.14,0.78,0.18,0.1,0.17,385,14.3,"Macadamia"
"CV002PA0749",2.27239060401917,52.5,0.79,95,1230,36.5,0.13,0.91,1.93,0.7,0.46,509,40.4,"Avocado"
"CF177PA1334",1.8442702293396,5.79,0.18,30.5,2.5,18,0.21,1.1,0.3,0.13,0.17,34.6,24.7,"Macadamia"
"CK002PA3051",1.69917285442352,12.3,1.51,139,5.62,22.3,0.06,0.58,1.08,0.087,0.19,5960,60.9,"Macadamia"
"CK002PA3052",1.66790282726288,9.44,0.33,50.1,5.47,32.6,0.11,0.89,0.41,0.11,0.19,1100,14.6,"Macadamia"
"CK002PA3053",1.54061770439148,12.5,0.15,127,2.64,32.8,0.068,0.63,1.03,0.068,0.2,1820,41.5,"Macadamia"
"CK002PA3054",1.45923626422882,11.6,0.1,145,4.36,25.3,0.078,0.72,0.71,0.089,0.2,2210,22.2,"Macadamia"
"CK002PA3055",1.55715334415436,10.2,0.1,88.9,3.85,27.8,0.072,0.64,0.78,0.085,0.2,2310,28.4,"Macadamia"
"CK002PA3056",1.52345180511475,12.3,0.1,113,3.31,33.5,0.056,0.54,0.96,0.062,0.19,3720,52.7,"Macadamia"
"CF177PA1197",2.99515414237976,7.34,0.1,44.5,1.96,13.8,0.14,0.65,0.39,0.085,0.13,196,10.1,"Macadamia"
"CF177PA1217",3.69390225410461,348,1.54,66.5,4.24,25.9,0.23,1.43,1.07,0.31,0.23,559,99.7,"Pecan Nut"
"CF177PA1221",3.3257110118866,156,1.49,72.2,3.67,33.4,0.3,1.43,1.25,0.27,0.23,802,34.4,"Pecan Nut"
"CF177PA1222",3.09926009178162,40.8,0.8,65.7,2.43,19.4,0.17,1.26,0.83,0.19,0.19,138,66.6,"Pecan Nut"
"CF177PA1223",3.41004037857056,480,1.75,78.3,7.07,29.5,0.24,1.6,0.94,0.32,0.21,741,67.7,"Pecan Nut"
"CF177PA1224",3.38362431526184,169,0.1,68.5,6.23,27.6,0.17,1.02,0.94,0.32,0.23,852,53.8,"Pecan Nut"
"CF177PA1218",3.57060527801514,510,0.99,102,7.69,16.1,0.31,1.4,1.27,0.34,0.23,1130,31.5,"Pecan Nut"
"CK002PA3309",1.6076512336731,4.78,0.2,66,3.86,0.65,0.066,0.71,0.58,0.069,0.12,1160,23.3,"Macadamia"
"CK002PA3310",1.87768042087555,5.65,0.68,74.3,5.06,6.23,0.061,0.58,0.52,0.072,0.13,706,24.5,"Macadamia"
"CK002PA3311",1.67243897914886,4.5,0.18,61.2,3.06,1.43,0.059,0.55,0.65,0.055,0.13,1310,20.5,"Macadamia"
"CF177PA1098",2.12354373931885,26.2,0.28,56,11.5,180,0.36,1.06,0.59,0.16,0.3,409,46.6,"Macadamia"
"CK002PA3312",1.66269743442535,6.49,0.22,81.4,3.88,6,0.056,0.68,0.5,0.063,0.14,616,24,"Macadamia"
"CF177PA1097",1.81044852733612,18.7,0.34,56,8.74,25.6,0.26,0.77,0.61,0.13,0.25,971,24.4,"Macadamia"
"CF177PA1099",1.55675768852234,19.3,0.55,47.5,8.03,54.2,0.23,0.74,0.4,0.11,0.2,468,29.3,"Macadamia"
"CF177PA1100",2.11132431030273,23.4,0.38,47.2,11.3,70.7,0.27,1.03,0.33,0.13,0.23,165,32.1,"Macadamia"
"CF177PA1101",1.74198222160339,30,0.3,57.9,10,40.6,0.27,0.98,0.51,0.15,0.28,443,28.6,"Macadamia"
"CF177PA1102",2.65575695037842,37.5,0.31,49.8,14.5,94.1,0.39,1.39,0.62,0.17,0.37,237,41.4,"Macadamia"
"CF177PA1103",1.80892181396484,18,0.47,44.7,8.29,59.2,0.23,0.9,0.46,0.13,0.23,788,30.9,"Macadamia"
"CF177PA1104",2.06430339813232,21.6,0.76,50.6,10.3,52.4,0.26,1.12,0.51,0.15,0.24,225,36.9,"Macadamia"
"CF177PA1330",1.82421851158142,5.96,0.23,27.8,2.79,4.4,0.12,0.96,0.45,0.14,0.15,34,36.5,"Macadamia"
"CF177PA1331",1.75412046909332,6.07,0.42,29.6,3.06,5.2,0.18,0.89,0.31,0.095,0.14,40.6,12.8,"Macadamia"
"CF177PA1332",1.89033818244934,7.58,0.43,30.9,4.19,33.4,0.22,1.14,0.39,0.1,0.17,26.7,16.1,"Macadamia"
"CF177PA1333",1.73931932449341,5.6,0.1,43.2,3.13,37.6,0.24,1.38,0.37,0.13,0.18,21.1,27,"Macadamia"
"CK002PA3313",1.73289704322815,5.69,0.61,80.8,4.79,12.6,0.07,0.71,0.73,0.065,0.13,980,26.3,"Macadamia"
"CK002PA3314",1.76492345333099,6.69,0.1,78,3.97,2.44,0.062,0.69,0.66,0.077,0.12,1280,32.8,"Macadamia"
"CK002PA3315",1.58413815498352,5.13,0.18,85.1,3.46,5.16,0.079,0.56,0.49,0.059,0.11,787,25.8,"Macadamia"
"CK002PA3316",1.65342724323273,5.96,0.1,66.1,3.57,10.8,0.06,0.72,0.5,0.068,0.12,649,20.9,"Macadamia"
"CK002PA3317",1.63428854942322,5.37,0.1,58.4,4.36,5.7,0.067,0.69,0.48,0.057,0.11,719,21.1,"Macadamia"
"CK002PA3301",1.66796720027924,7.26,0.1,78.2,5,12.6,0.061,0.75,0.58,0.067,0.12,1130,23.1,"Macadamia"
"CK002PA3302",1.57999634742737,10.3,0.1,80.4,7.36,3.14,0.084,0.72,0.6,0.071,0.13,1000,24.7,"Macadamia"
"CK002PA3318",1.56575119495392,5.61,0.1,50.4,4.82,11.1,0.071,0.64,0.58,0.063,0.11,1020,20.4,"Macadamia"
"CK002PA3319",1.77644968032837,7.88,0.1,49.6,3.76,5.83,0.078,0.53,0.48,0.057,0.11,492,16.5,"Macadamia"
"CK002PA3306",1.55323708057404,7.11,0.5,58.7,5.43,26.1,0.061,0.71,0.6,0.067,0.11,870,24.7,"Macadamia"
"CK002PA3307",1.9077912569046,6.56,0.24,66.1,4.61,6.22,0.062,0.62,0.53,0.058,0.12,535,32.2,"Macadamia"
"CK002PA3320",1.83183908462524,10.1,0.1,60.4,3.43,3.67,0.074,0.64,0.45,0.069,0.12,780,15.6,"Macadamia"
"CK002PA3321",1.83125686645508,6.81,0.1,65,3.44,1.96,0.068,0.61,0.42,0.07,0.11,835,19.3,"Macadamia"
"CK002PA3322",1.91073822975159,7.63,0.1,57.1,3.09,4.85,0.084,0.59,0.44,0.066,0.13,582,16.1,"Macadamia"
"CK002PA3308",1.77116048336029,6.69,0.1,95.3,4.21,6.47,0.063,0.64,0.68,0.073,0.14,1230,33.8,"Macadamia"
"CK002PA3303",1.91556715965271,6.27,0.1,86.4,3.12,10.1,0.068,0.75,0.58,0.053,0.12,779,32.2,"Macadamia"
